category_en,category_he,condition,relevant_families,source_deck,deck_topic,category_code,notes
Appetite,תיאבון,Appetite stimulation,H1 1st Generation (cyproheptadine),15,Antihistamines (H1),ALRG,Serotonin antagonism → increased appetite; used in children and cachexia
Upper GI,GI עליון,Peptic ulcer (H. pylori),PPIs + Antibiotics (triple/quad therapy); H2 Blockers; Mucosal Protective,16,GI Drugs,GI,Standard: 2 antibiotics + PPI; bismuth in quadruple therapy
Upper GI,GI עליון,GERD / Heartburn,PPIs (first-line); H2 Blockers; Antacids,16,GI Drugs,GI,PPI 30-60 min before breakfast; H2 blocker at night; antacids for acute relief
Upper GI,GI עליון,NSAID-induced gastropathy,Prostaglandin Analogs (misoprostol); PPIs,16,GI Drugs,GI,Misoprostol co-prescribed with chronic NSAIDs; cross-ref deck 06
Upper GI,GI עליון,Zollinger-Ellison syndrome,PPIs (high-dose),16,GI Drugs,GI,Gastrin-secreting tumor; requires high-dose acid suppression
Lower GI,GI תחתון,Diarrhea (acute/chronic),Antimotility Agents; Adsorbents; Bismuth,16,GI Drugs,GI,Loperamide first-line OTC; diphenoxylate+atropine Rx; not in children
Lower GI,GI תחתון,Constipation (chronic),Bulk Laxatives; Osmotic Laxatives; Stimulant Laxatives; Lubiprostone; GC-C Agonists,16,GI Drugs,GI,Start with bulk/osmotic; stimulants for short-term; lubiprostone/linaclotide for IBS-C
Lower GI,GI תחתון,Opioid-induced constipation,Senna (with opioids); PAMORA (naloxegol),16,GI Drugs,GI,Senna standard co-prescription; naloxegol for refractory cases; cross-ref deck 05
Lower GI,GI תחתון,IBS (Irritable Bowel Syndrome),Dicyclomine; Loperamide (IBS-D); Linaclotide (IBS-C); Lubiprostone (IBS-C),16,GI Drugs,GI,Antispasmodics for cramping; subtype-specific treatment
Hepatic,כבדי,Hepatic encephalopathy,Lactulose,16,GI Drugs,GI,Reduces ammonia absorption in gut; not primarily a laxative use
Respiratory,נשימה,Asthma — acute attack,SABA (first-line); systemic corticosteroids; ipratropium (severe),17,Respiratory,RESP,Albuterol rescue; add oral prednisone if severe
Respiratory,נשימה,Asthma — chronic maintenance,ICS (cornerstone); LABA+ICS combos; Leukotriene Modifiers; Biologics (severe),17,Respiratory,RESP,Step-up therapy: ICS → ICS+LABA → add biologic; LABA never alone in asthma
Respiratory,נשימה,COPD — maintenance,LAMA (first-line); LABA; LABA+LAMA; Triple therapy; PDE4 inhibitors,17,Respiratory,RESP,Tiotropium cornerstone; add LABA; ICS only if eosinophilic/frequent exacerbations
Respiratory,נשימה,Allergic rhinitis,Intranasal ICS; H1 Antihistamines; α-Agonists (nasal); Leukotriene Modifiers; Cromolyn,17,Respiratory,RESP,Intranasal ICS most effective; antihistamines for mild; decongestants short-term only
Respiratory,נשימה,Severe eosinophilic asthma,"Anti-IL5/IL5R (mepolizumab, benralizumab); Anti-IL4/IL13 (dupilumab); Anti-TSLP (tezepelumab)",17,Respiratory,RESP,Add-on to ICS+LABA; based on eosinophil count and phenotype
Respiratory,נשימה,Severe allergic asthma (IgE-mediated),Anti-IgE (omalizumab),17,Respiratory,RESP,Add-on; elevated IgE required; SC injection
Respiratory,נשימה,Cough,"Antitussives (DXM, codeine, benzonatate); Expectorants (guaifenesin)",17,Respiratory,RESP,DXM OTC first-line; codeine Rx; treat underlying cause
Transplant,השתלה,Solid organ transplant — induction,ATG; Basiliximab; Glucocorticoids (high-dose),18,Immunosuppressants,IMMUN,Given perioperatively to prevent early rejection; ATG for high-risk
Transplant,השתלה,Solid organ transplant — maintenance,CNI (tacrolimus preferred); Antimetabolites (mycophenolate); Glucocorticoids (low-dose); mTOR inhibitors,18,Immunosuppressants,IMMUN,Triple therapy: CNI + antimetabolite + steroid; mTOR sometimes replaces CNI to spare kidneys
Transplant,השתלה,Acute rejection treatment,Glucocorticoids (IV pulse); ATG (steroid-resistant),18,Immunosuppressants,IMMUN,Methylprednisolone pulse first; ATG if refractory
Autoimmune,אוטואימוני,Rheumatoid arthritis,Azathioprine; Glucocorticoids; JAK Inhibitors,18,Immunosuppressants,IMMUN,JAK inhibitors newer option; many other DMARDs covered in deck 06
Autoimmune,אוטואימוני,Lupus nephritis,Mycophenolate; Glucocorticoids; Voclosporin; Azathioprine,18,Immunosuppressants,IMMUN,Voclosporin first oral CNI approved for lupus (2021)
Autoimmune,אוטואימוני,"IBD (Crohn's, UC)","Azathioprine; Glucocorticoids; JAK Inhibitors (tofacitinib, upadacitinib)",18,Immunosuppressants,IMMUN,Azathioprine for maintenance; JAK inhibitors for UC
Hypertension (primary/essential),יתר לחץ דם ראשוני,,F01-F14 (all families),19,Antihypertensives,CV,95% of HTN cases; first-line: ACEi/ARB/CCB/diuretics
Hypertension (resistant),יתר לחץ דם עמיד,,"F13 (Clonidine), F14, F09",19,Antihypertensives,CV,Failure of 3 drugs; add centrally acting or vasodilators
Hypertensive emergency,יתר לחץ דם חירומי,,"F04 (Labetalol), F10 (Clevidipine/Nicardipine IV), F14",19,Antihypertensives,CV,Systolic >180 or diastolic >120; IV administration
Gestational hypertension,יתר לחץ דם הריוני,,"F04 (Labetalol), F13 (Methyldopa), F14 (Hydralazine)",19,Antihypertensives,CV,ACEi/ARB/Aliskiren contraindicated in pregnancy
Heart failure (chronic/CHF),אי-ספיקת לב כרונית,,"F04 (Carvedilol), F06, F07, F09, F15 (ARNI)",19,Antihypertensives,CV,ACEi/ARB + β-blocker + MRA standard; ARNI replaces ACEi
Post-MI,לאחר אוטם שריר הלב,,"F01/F02, F06, F09",19,Antihypertensives,CV,β-blockers + ACEi + aldosterone antagonist
Diabetic nephropathy / CKD,נפרופתיה סוכרתית / מחלת כליה כרונית,,"F06, F07, F16 (Finerenone)",19,Antihypertensives,CV,ACEi/ARB renoprotective; Finerenone for CKD+T2DM
Angina pectoris,תעוקת חזה,,"F01/F02, F10, F11, F12",19,Antihypertensives,CV,β-blockers + CCBs; reduce myocardial O₂ demand
Atrial fibrillation (rate control),פרפור עליות (בקרת קצב),,"F11 (Verapamil), F12 (Diltiazem)",19,Antihypertensives,CV,Non-DHP CCBs for rate control; CI in HF
Migraine prophylaxis,מניעת מיגרנה,,"F01 (Propranolol), F11 (Verapamil)",19,Antihypertensives,CV,
BPH (benign prostatic hyperplasia),היפרטרופיה שפירה של הערמונית,,"F05 (Terazosin, Doxazosin)",19,Antihypertensives,CV,α1-blockers relax prostatic smooth muscle
Alopecia (baldness),התקרחות,,F14 (Minoxidil topical),19,Antihypertensives,CV,Off-label/cosmetic use of vasodilator
Hypertension,יתר לחץ דם,,"F04 (thiazides, first-line), F03, F05/F06 (add-on)",20,Diuretics,CV,Thiazides most common diuretic for HTN; Chlorthalidone preferred
Heart failure (edema),אי-ספיקת לב (בצקת),,"F03 (loop, primary), F04 (add-on), F06 (MRA)",20,Diuretics,CV,Loop diuretics IV for acute pulmonary edema; MRA for mortality benefit
Acute pulmonary edema,בצקת ריאות חריפה,,F03 (Furosemide IV),20,Diuretics,CV,Emergency — rapid onset loop diuretics
Peripheral edema (renal/hepatic),בצקת פריפרית (כליה/כבד),,"F03, F06",20,Diuretics,CV,Spironolactone preferred in cirrhosis (hyperaldosteronism)
Hypercalcemia,היפרקלצמיה,,F03 (loop diuretics),20,Diuretics,CV,Loop diuretics increase Ca²⁺ excretion; thiazides do opposite
Kidney stones (calcium),אבני כליה (סידן),,F04 (thiazides),20,Diuretics,CV,Thiazides ↓Ca²⁺ excretion → prevent calcium stones
Cerebral edema / ↑ICP,בצקת מוחית / לחץ תוך גולגולתי מוגבר,,F02 (Mannitol IV),20,Diuretics,CV,Osmotic effect draws fluid from brain tissue
Glaucoma,גלאוקומה,,F01 (Acetazolamide),20,Diuretics,CV,Reduces aqueous humor production
Mountain sickness,מחלת גבהים,,F01 (Acetazolamide),20,Diuretics,CV,Metabolic acidosis improves respiration
SIADH / Hyponatremia,SIADH / היפונטרמיה,,F07 (Tolvaptan),20,Diuretics,CV,Pure water diuresis corrects dilutional hyponatremia
Diabetes insipidus (nephrogenic),סוכרת תפלה (נפרוגנית),,F04 (thiazides),20,Diuretics,CV,Paradoxical effect — thiazides create hyperosmolar urine
Hyperaldosteronism (Conn syndrome),היפראלדוסטרוניזם,,F06 (Spironolactone),20,Diuretics,CV,Direct aldosterone antagonism
Polycystic ovary syndrome (PCOS),שחלה פוליציסטית,,F06 (Spironolactone),20,Diuretics,CV,Anti-androgenic effect
Resistant hypertension,יתר לחץ דם עמיד,,F06 (Spironolactone add-on),20,Diuretics,CV,4th-line agent for resistant HTN
Stable angina (classic/exertional),אנגינה יציבה (קלאסית/של מאמץ),,SL Nitroglycerin (acute) → β-Blockers (first-line chronic) → add CCBs or long-acting nitrates → add Ranolazine,22,Angina Pectoris,CV,~90% of angina cases; fixed coronary obstruction; predictable threshold; slide 24 shows treatment algorithm
Vasospastic angina (Prinzmetal/variant),אנגינה וזוספסטית (פרינצמטל/משתנה),,CCBs (DHP or non-DHP) + Nitrates; β-Blockers CONTRAINDICATED,22,Angina Pectoris,CV,Rare; coronary vasospasm at rest; can occur during sleep; β-blockers worsen spasm by unopposed α-stimulation
Unstable angina (ACS),אנגינה בלתי יציבה (תסמונת כלילית חריפה),,Antiplatelets (Aspirin + P2Y12 inhibitor) + Anticoagulants (Heparin) + Nitrates + β-Blockers; possible PCI/CABG,22,Angina Pectoris,CV,Medical emergency; increasing frequency/severity; thrombus on ruptured plaque; NOT responsive to vasodilators alone; may progress to MI
Myocardial infarction (MI),אוטם שריר הלב (התקף לב),,Antiplatelets (DAPT) + Anticoagulants + β-Blockers + ACEIs/ARBs + Statins; emergency PCI,22,Angina Pectoris,CV,Complete coronary occlusion → cardiomyocyte necrosis; troponin + CK elevation; requires immediate reperfusion
Chronic stable CAD (secondary prevention),מחלת עורקים כליליים יציבה (מניעה שניונית),,Aspirin + Statin + β-Blocker ± ACEI ± long-acting nitrate,22,Angina Pectoris,CV,Atherosclerosis-based; risk factor modification essential; slide 22 shows drug selection by comorbidity
Angina with comorbid asthma/COPD,תעוקה עם אסתמה/COPD,,Long-acting nitrates + CCBs (DHP); avoid β-Blockers,22,Angina Pectoris,CV,Slide 22 table; β-Blockers contraindicated in reactive airway disease
Angina with comorbid diabetes,תעוקה עם סוכרת,,Long-acting nitrates + CCBs; β-Blockers with caution (mask hypoglycemia),22,Angina Pectoris,CV,Slide 22 table; β-Blockers can mask hypoglycemic symptoms
Angina with comorbid hypertension,תעוקה עם יתר לחץ דם,,Long-acting nitrates + β-Blockers + CCBs,22,Angina Pectoris,CV,Slide 22 table; all three classes also lower BP — synergistic benefit
Atrial fibrillation (AF) — rate control,פרפור עליות — שליטה בקצב,,"β-Blockers (Metoprolol), CCBs (Verapamil/Diltiazem), Digoxin + Anticoagulants (stroke prevention)",23,Cardiac Arrhythmia,CV,Most common sustained arrhythmia; slides 22-23; rate control = first strategy; long-term anticoagulation reduces stroke risk
Atrial fibrillation — rhythm control,פרפור עליות — שמירת קצב סינוס,,"Amiodarone, Dofetilide, Propafenone (no structural disease), Dronedarone, Vernakalant (acute IV)",23,Cardiac Arrhythmia,CV,Rhythm control for symptomatic AF; Class IC only without structural heart disease; Amiodarone for refractory cases
Atrial flutter,רפרפור עליות,,"Metoprolol, Verapamil, Digoxin, Ibutilide (acute conversion)",23,Cardiac Arrhythmia,CV,Slides 22-23; similar to AF rate control; catheter ablation often curative
Supraventricular tachycardia (SVT) — acute,טכיקרדיה על-חדרית — אקוטית,,"Adenosine (first-line IV bolus), Diltiazem, Verapamil",23,Cardiac Arrhythmia,CV,Adenosine = diagnostic + therapeutic; very short t½; for AV nodal reentry
AV nodal reentry tachycardia (AVNRT),טכיקרדיה מסוג כניסה מחדש בקשר AV,,"Metoprolol, Verapamil, Digoxin",23,Cardiac Arrhythmia,CV,Chronic prevention; slides 22-24
Ventricular tachycardia (VT) — acute,טכיקרדיה חדרית — אקוטית,,"Lidocaine (IV, first-line), Amiodarone",23,Cardiac Arrhythmia,CV,Medical emergency; common cause of death post-MI; may deteriorate to VF
Ventricular fibrillation (VF),פרפור חדרים,,Defibrillation + Lidocaine + Amiodarone + Epinephrine,23,Cardiac Arrhythmia,CV,Life-threatening; defibrillation primary treatment; drugs for refractory VF
Post-MI arrhythmia prevention,מניעת הפרעות קצב לאחר אוטם,,"β-Blockers (Metoprolol, Atenolol); avoid Class IC (CAST trial)",23,Cardiac Arrhythmia,CV,β-Blockers reduce post-MI arrhythmic death; Class IC increases mortality post-MI
Drug-induced arrhythmia (Torsades de Pointes),אריתמיה תרופתית (Torsades de Pointes),,"IV Magnesium (first-line), K+ correction; caused by: Class IA/III, macrolides, antipsychotics, QT-prolonging drugs",23,Cardiac Arrhythmia,CV,QT prolongation → Torsades; can be caused by antiarrhythmic drugs themselves (pro-arrhythmic effect)
Digitalis-induced arrhythmia,אריתמיה מושרית דיגיטליס,,"IV Magnesium, Class IB (Lidocaine), K+ correction, Digoxin antibodies (Fab)",23,Cardiac Arrhythmia,CV,Slide 21; narrow TI of digoxin → frequent toxicity; Lidocaine effective because IB shortens AP
Bacterial pneumonia (CAP),דלקת ריאות חיידקית (קהילתית),,"Cephalosporins (Gen III), Macrolides, Fluoroquinolones (Gen III-IV)",24,Antimicrobials Intro,ANTI,Common presentation; may indicate chronic condition if recurrent
Bacterial meningitis,דלקת קרומי מוח חיידקית,,"Ceftriaxone (Gen III), Pen G, Carbapenems",24,Antimicrobials Intro,ANTI,Requires CSF-penetrating drugs; hospitalization
UTI (urinary tract infection),זיהום בדרכי השתן,,"Cotrimoxazole, Nitrofurantoin, Fluoroquinolones, Methenamine",24,Antimicrobials Intro,ANTI,Very common; chronic suppressive Tx possible
Skin/soft tissue infections,זיהומי עור ורקמות רכות,,"Cephalosporins, Clindamycin, Daptomycin, Ceftaroline, Mupirocin (topical)",24,Antimicrobials Intro,ANTI,MRSA considerations
MRSA infections,זיהומי MRSA,,"Vancomycin, Daptomycin, Linezolid, Ceftaroline, Cotrimoxazole",24,Antimicrobials Intro,ANTI,Hospital-acquired marker; serious
Endocarditis,אנדוקרדיטיס,,"Penicillin + Gentamicin (synergy), Vancomycin",24,Antimicrobials Intro,ANTI,Serious; prolonged IV Tx; relevant to blood donation
Tuberculosis,שחפת,,"Isoniazid, Rifampin, Ethambutol, Pyrazinamide (not in this deck); Cipro/Streptomycin 2nd line",24,Antimicrobials Intro,ANTI,Multi-drug regimen; MDA permanent deferral area
Gonorrhea / Syphilis,זיבה / עגבת,,"Ceftriaxone, Penicillin G",24,Antimicrobials Intro,ANTI,STI; relevant deferral considerations
Chlamydia,כלמידיה,,"Azithromycin, Doxycycline, Fluoroquinolones",24,Antimicrobials Intro,ANTI,STI
C. difficile colitis,קוליטיס מ-C. difficile,,"Vancomycin PO, Metronidazole (not in deck)",24,Antimicrobials Intro,ANTI,Often caused by broad-spectrum AB use
Acne,אקנה,,"Doxycycline, Clindamycin (topical), Mupirocin",24,Antimicrobials Intro,ANTI,Chronic use; cosmetic indication
Surgical prophylaxis,טיפול מניעתי לפני ניתוח,,"Cefazolin (Gen I), Ceftaroline",24,Antimicrobials Intro,ANTI,Short-term peri-operative
Dental prophylaxis,טיפול מניעתי שיניים,,Amoxicillin,24,Antimicrobials Intro,ANTI,For prosthetic valve patients; pre-extraction
Rheumatic heart disease prevention,מניעת מחלת לב ראומטית,,Penicillin (long-term prophylaxis),24,Antimicrobials Intro,ANTI,Long-term strep prophylaxis; MDA-relevant chronic condition
Burn wound infections,זיהומי כוויות,,"Silver sulfadiazine, Mafenide (topical)",24,Antimicrobials Intro,ANTI,Topical application
Malaria,מלריה,,"Sulfonamides, Pyrimethamine",24,Antimicrobials Intro,ANTI,Prevention/treatment; MDA endemic country rules apply
Toxoplasmosis,טוקסופלסמוזיס,,"Cotrimoxazole, Pyrimethamine",24,Antimicrobials Intro,ANTI,Pregnancy concern; immunocompromised
Pseudomonas infections,זיהומי פסאודומונאס,,"Piperacillin/Tazobactam, Ceftazidime, Cefepime, Aztreonam, Ciprofloxacin, Polymyxins",24,Antimicrobials Intro,ANTI,Hospital-acquired; CF patients
VRE infections (E. faecium),זיהומי VRE,,"Quinupristin/Dalfopristin, Linezolid, Daptomycin, Tigecycline",25,Antimicrobials Detail,ANTI,Hospital-acquired; serious; limited treatment options
Complicated intra-abdominal infections,זיהומים תוך-בטניים מורכבים,,"Tigecycline, Carbapenems, Piperacillin/Tazobactam",25,Antimicrobials Detail,ANTI,Tigecycline covers anaerobes + G−
Uncomplicated UTI (single-dose),זיהום שתן לא מסובך (מנה בודדת),,Fosfomycin (3g PO x1),25,Antimicrobials Detail,ANTI,Convenient single-dose; increasingly used due to resistance to other agents
Anaerobic surgical prophylaxis,פרופילקסיס לניתוח (אנאירובי),,"Cefoxitin, Cefotetan",25,Antimicrobials Detail,ANTI,Cephamycins — Gen II cephalosporins with anaerobic coverage
Pulmonary TB — active (susceptible),שחפת ריאתית פעילה (רגישה),,F27_01-04,27,Anti-TB + Antifungals,ANTI,6 חודשי טיפול: 2 חודשים RIPE (intensive) + 4 חודשים RI (continuation). DOT
Latent TB infection (LTBI),שחפת לטנטית,,"F27_01, F27_02",27,Anti-TB + Antifungals,ANTI,"9 חודשים INH מונותרפיה, או 12 שבועות INH+Rifapentine. אסימפטומטי, TB test חיובי"
MDR-TB (Multi-Drug Resistant),שחפת עמידה (MDR),,"F27_05-09, F27_06, F27_19-20",27,Anti-TB + Antifungals,ANTI,שנתיים טיפול. שילוב קו שני. BPaL regimen חדש (Bedaquiline+Pretomanid+Linezolid)
XDR-TB (Extensively Drug Resistant),שחפת עמידה מורחבת (XDR),,"F27_06, F27_19-20",27,Anti-TB + Antifungals,ANTI,עמידה גם ל-FQ וגם ל-injectable. BPaL regimen
NTM infection (non-TB mycobacteria),זיהום מיקובקטריה לא-שחפתית,,"F27_02, F27_04",27,Anti-TB + Antifungals,ANTI,"לפי זהות המזהם. לא isoniazid! בד""כ macrolide-based"
Leprosy (Hansen's disease),צרעת,,F27_10,27,Anti-TB + Antifungals,ANTI,WHO MDT: Clofazimine + Dapsone + Rifampin. 6 חודשים (PB) או 12 חודשים (MB)
Invasive Aspergillosis,אספרגילוזיס חודרני,,"F27_13 (Voriconazole), F27_14, F27_11, F27_21",27,Anti-TB + Antifungals,ANTI,"Voriconazole = 1st line. חולים נויטרופניים, מושתלי מח עצם, לויקמיה. AmB/echinocandins לעמידים"
Invasive Candidiasis / Candidemia,קנדידיאזיס חודרני / קנדידמיה,,"F27_14, F27_13, F27_11, F27_22-23",27,Anti-TB + Antifungals,ANTI,Echinocandins = 1st line empiric. Fluconazole step-down. AmB לעמידים
Cryptococcal Meningitis,מנינגיטיס קריפטוקוקלי,,"F27_11 + F27_12, F27_13",27,Anti-TB + Antifungals,ANTI,Induction: AmB + Flucytosine. Consolidation/maintenance: Fluconazole. שכיח ב-AIDS
Mucormycosis (Zygomycetes),מוקורמיקוזיס,,"F27_11, F27_21",27,Anti-TB + Antifungals,ANTI,AmB = 1st line. Isavuconazole = alternative. ניתוח חיוני. שכיח בסוכרת לא מאוזנת
Histoplasmosis,היסטופלסמוזיס,,"F27_11, F27_13",27,Anti-TB + Antifungals,ANTI,"פטריה אנדמית (סביבת עופות, מערות עטלפים). מאסימפטומטי עד מסכן חיים. AmB לחמור, Itraconazole לקל"
Coccidioidomycosis,קוקסידיואידומיקוזיס,,"F27_13, F27_11",27,Anti-TB + Antifungals,ANTI,"פטריה אנדמית (דרום-מערב ארה""ב). Fluconazole/Itraconazole. AmB למסכן חיים"
Dermatophytosis (Tinea),דרמטופיטוזיס (טינאה),,"F27_15, F27_16, F27_17",27,Anti-TB + Antifungals,ANTI,עור: Terbinafine/Clotrimazole טופיקלי. ציפורניים/קרקפת: Terbinafine PO (3 חודשים) או Griseofulvin PO
Vulvovaginal Candidiasis,קנדידיאזיס ווגינלי,,"F27_13, F27_17, F27_22, F27_24",27,Anti-TB + Antifungals,ANTI,אפיזודה: Fluconazole PO single dose / Clotrimazole topical. חוזר (RVVC): Oteseconazole / Ibrexafungerp
Oral/Mucosal Candidiasis,קנדידיאזיס אוראלי/רירית,,"F27_18, F27_17, F27_13",27,Anti-TB + Antifungals,ANTI,"Nystatin suspension, Clotrimazole troches. Fluconazole PO לעמידים / מדוכאי חיסון"
Onychomycosis (nail fungus),פטרת ציפורניים,,"F27_15, F27_16, F27_13",27,Anti-TB + Antifungals,ANTI,Terbinafine PO = 1st line (3 חודשים). Itraconazole pulse therapy. Griseofulvin (ארוך יותר). Ciclopirox topical
Pneumocystis jirovecii Pneumonia (PCP),דלקת ריאות PCP,,F27_10 (Dapsone xref),27,Anti-TB + Antifungals,ANTI,"טיפול: TMP-SMX (deck 24 xref). מניעה: TMP-SMX, Dapsone, Atovaquone. שכיח ב-AIDS"
Meningococcal prophylaxis,מניעת מנינגוקוק,,F27_02 (Rifampin xref),27,Anti-TB + Antifungals,ANTI,"Rifampin PO: מניעת N. meningitidis בקונטקטים. חלופות: ciprofloxacin, ceftriaxone"
Influenza A/B,שפעת,,"F29_01, F29_02, F29_13, F29_14",29,Antivirals,ANTI,Oseltamivir PO = 1st line. תוך 48 שעות. Baloxavir = alternative. Adamantanes כמעט לא בשימוש (עמידות). מניעה: חיסון
RSV Bronchiolitis,ברונכיוליטיס RSV,,F29_03,29,Antivirals,ANTI,Ribavirin aerosol בתינוקות/ילדים. טיפול תומך עיקרי. Palivizumab (mAb) למניעה בפגים
Chronic Hepatitis B,הפטיטיס B כרוני,,"F29_04, F29_05, F29_18",29,Antivirals,ANTI,"Entecavir או TAF = 1st line (PO). PEG-IFNα = alternative (SC, 48 שבועות). טיפול ארוך/כרוני"
Chronic Hepatitis C,הפטיטיס C כרוני,,"F29_15, F29_16",29,Antivirals,ANTI,DAAs = מהפכה. Sofosbuvir-based regimens. שיעורי ריפוי >95%. 8-12 שבועות. Boceprevir/Telaprevir OBSOLETE
HSV-1/2 (oral/genital herpes),הרפס HSV,,F29_07,29,Antivirals,ANTI,Acyclovir/Valacyclovir PO. טופיקלי להרפס שפתיים. IV לאנצפליטיס. פרופילקטי לחולים סרו-פוזיטיבים לפני דיכוי חיסוני
Varicella-Zoster (VZV),אבעבועות רוח / שלבקת חוגרת,,F29_07,29,Antivirals,ANTI,Acyclovir/Valacyclovir PO (שלבקת). IV לאימונוסופרסיביים. חיסון למניעה
CMV Retinitis / CMV disease,מחלת CMV,,"F29_07, F29_17",29,Antivirals,ANTI,Ganciclovir/Valganciclovir = 1st line. Foscarnet לעמידים. Letermovir למניעה במושתלים
HIV/AIDS,HIV/AIDS,,"F29_08-12, F29_18-22",29,Antivirals,ANTI,HAART: 2 NRTIs + (INSTI או NNRTI או PI). Biktarvy = preferred 1st line. Cabenuva = injectable option. כל החיים
HIV PrEP (Pre-Exposure Prophylaxis),מניעה טרום חשיפה HIV,,"F29_08, F29_20, F29_21",29,Antivirals,ANTI,Truvada/Descovy PO daily. Apretude IM כל חודשיים. Lenacapavir SC כל 6 חודשים (נחקר)
HIV PEP (Post-Exposure Prophylaxis),מניעה לאחר חשיפה HIV,,"F29_08, F29_12",29,Antivirals,ANTI,תוך 72 שעות. TDF/FTC + DTG/RAL. 28 ימים
COVID-19 (high-risk),COVID-19,,"F29_23, F29_24",29,Antivirals,ANTI,"Paxlovid = 1st line (PO, 5 ימים). Molnupiravir = alternative. אינטראקציות רבות (Paxlovid). חיסון למניעה"
Mpox / Smallpox,אבעבועות קוף / שחורות,,F29_25,29,Antivirals,ANTI,Tecovirimat PO/IV. שימוש ב-mpox outbreak 2022. Smallpox: biodefense stockpile
Pituitary deficiency / Growth failure,חוסר היפופיזרי / כשל גדילה,,"F01, F13",30,Pituitary Hormones,ENDO,Children: GHD. Adults: anti-aging (off-label). Underlying cause determines prognosis
Acromegaly / Gigantism,אקרומגלי / ענקיות,,"F02, F03",30,Pituitary Hormones,ENDO,GH-secreting pituitary adenoma. Treated with somatostatin analogues ± pegvisomant
Cushing's disease,מחלת קושינג,,F02 (pasireotide),30,Pituitary Hormones,ENDO,ACTH-secreting pituitary adenoma → excess cortisol. Pasireotide targets SST5
Adrenal insufficiency (Addison's),אי ספיקת אדרנל (אדיסון),,F04,30,Pituitary Hormones,ENDO,"Cosyntropin used for DIAGNOSIS (ACTH stimulation test), not treatment"
Prostate cancer,סרטן הערמונית,,"F05, F12",30,Pituitary Hormones,ENDO,GnRH agonists (with initial flare) or oral antagonists (no flare). Medical castration
Endometriosis,אנדומטריוזיס,,"F05, F12",30,Pituitary Hormones,ENDO,Hypoestrogenic state suppresses ectopic endometrial tissue
Precocious puberty,התבגרות מוקדמת,,F05,30,Pituitary Hormones,ENDO,GnRH agonists suppress early puberty; typically in children
Infertility,אי פוריות,,"F06, F07, F08",30,Pituitary Hormones,ENDO,Controlled ovarian stimulation: FSH → follicle growth; hCG → trigger ovulation; hMG → combined
Hyperprolactinemia / Prolactinoma,היפרפרולקטינמיה / פרולקטינומה,,F09,30,Pituitary Hormones,ENDO,Dopamine agonists suppress prolactin; first-line for prolactinoma (shrinks tumor)
Diabetes insipidus,סוכרת תפלה,,F10,30,Pituitary Hormones,ENDO,Central DI: desmopressin replaces ADH. Nephrogenic DI: thiazides (paradoxical)
Labor induction / Postpartum hemorrhage,זירוז לידה / דימום לאחר לידה,,F11,30,Pituitary Hormones,ENDO,Pitocin IV for labor induction; also controls postpartum bleeding
Uterine fibroids,שרירנים ברחם (פיברואידים),,"F05, F12",30,Pituitary Hormones,ENDO,GnRH agonists/antagonists reduce fibroid size via estrogen suppression
Hepatorenal syndrome,תסמונת כבדית-כלייתית,,F10 (terlipressin),30,Pituitary Hormones,ENDO,Terlipressin: V1 agonist → splanchnic vasoconstriction → improves renal perfusion
Hypothyroidism (Hashimoto's thyroiditis),תת-פעילות בלוטת התריס (האשימוטו),,F01,31,Thyroid Hormones,ENDO,Autoimmune destruction of thyroid; most common thyroid disorder; lifelong T4 replacement. Very common in donors
Hyperthyroidism (Graves' disease),יתר-פעילות בלוטת התריס (גרייבס),,"F02, F03, F04, F05",31,Thyroid Hormones,ENDO,Autoimmune stimulation of TSH receptor; thyrotoxicosis symptoms. Treatment: thioamides → I-131 or surgery
Thyroid storm (thyrotoxic crisis),סערת טירואיד (משבר טירוטוקסי),,"F02, F03, F05",31,Thyroid Hormones,ENDO,Life-threatening emergency; PTU + iodides + β-blockers + supportive care. Hospital setting
Thyroid eye disease (Graves' ophthalmopathy),מחלת עיניים טירואידית (אופתלמופתיה),,F06,31,Thyroid Hormones,ENDO,"Proptosis, diplopia, inflammation of orbital tissues; can occur independently of thyroid status"
Goiter (thyroid enlargement),זפק (הגדלת בלוטת התריס),,F01,31,Thyroid Hormones,ENDO,Can be from iodine deficiency (endemic) or autoimmune. T4 may suppress TSH-driven growth
Myxedema coma,תרדמת מיקסאדמה,,F01,31,Thyroid Hormones,ENDO,Severe hypothyroidism emergency; IV levothyroxine + liothyronine. Hospital setting
Thyroid cancer (differentiated),סרטן בלוטת התריס (ממוין),,"F04, F01",31,Thyroid Hormones,ENDO,Post-thyroidectomy: I-131 ablation of residual tissue + TSH suppression with levothyroxine
Type 1 Diabetes Mellitus (IDDM),סוכרת סוג 1,,"F01-F04, F13",32,Diabetes Mellitus,ENDO,Autoimmune β-cell destruction; absolute insulin deficiency; onset childhood/puberty; 5-10% of DM
Type 2 Diabetes Mellitus (NIDDM),סוכרת סוג 2,,F04-F14,32,Diabetes Mellitus,ENDO,Insulin resistance + relative deficiency; onset >35y; obesity-associated; 90-95% of DM. Progressive: diet→metformin→combination→insulin
Diabetic Ketoacidosis (DKA),חמצת קטו-סוכרתית,,"F01, F02",32,Diabetes Mellitus,ENDO,Life-threatening; mainly T1DM. Requires IV regular insulin + fluids + electrolytes. Hospital setting
